Date,APPLE,NVDA,MSFT,INTC,GOOD,DELL
2015/12/31,24.199888,8.053996,50.102814,29.135857,758.880005,12.067676
2016/1/4,24.220579,7.909823,49.48872,28.746819,741.840027,11.997515
2016/1/5,23.613626,8.03689,49.7145,28.611494,742.580017,12.207997
2016/1/6,23.151514,7.704566,48.811424,27.977184,743.619995,12.250094
2016/1/7,22.174414,7.399119,47.113628,26.928469,726.390015,12.628963
2016/1/8,22.291668,7.240287,47.258129,26.649366,714.469971,12.797349
2016/1/11,22.65262,7.252506,47.231026,27.114532,716.030029,12.744027
2016/1/12,22.981382,7.374685,47.664505,27.638887,726.070007,12.839445
2016/1/13,22.390528,7.149877,46.635002,26.987665,700.559998,12.993799
2016/1/14,22.88023,7.005707,47.962524,27.689634,714.719971,12.671059
2016/1/15,22.330748,6.62451,46.048,25.169315,694.450012,12.539157
2016/1/19,22.2227,6.678267,45.659672,25.203146,701.789978,12.207997
2016/1/20,22.252586,6.714921,45.867374,25.025543,698.450012,12.062063
2016/1/21,22.139929,6.793114,45.587425,25.084742,706.590027,12.755252
2016/1/22,23.317047,6.951947,47.222,25.313099,725.25,13.470894
2016/1/25,22.861834,6.944618,46.770462,25.034,711.669983,14.11918
2016/1/26,22.988281,7.013037,47.113628,25.32155,713.039978,13.773989
2016/1/27,21.477802,6.929955,46.255699,25.211609,699.98999,13.863795
2016/1/28,21.63184,6.854205,47.014294,25.346924,730.960022,13.611215
2016/1/29,22.379032,7.157207,49.750614,26.234955,742.950012,13.569119
2016/2/1,22.169817,7.159648,49.407448,26.065802,752,13.720666
2016/2/2,21.721506,6.856647,47.86319,25.203146,764.650024,13.602796
2016/2/3,22.151423,6.890858,47.104603,25.032507,726.950012,13.684183
2016/2/4,22.329412,6.893302,46.96011,25.399378,708.01001,13.675763
2016/2/5,21.733038,6.458347,45.298447,24.776554,683.570007,13.588764
2016/2/8,21.96188,6.162675,44.621136,24.588854,682.73999,13.479313
2016/2/9,21.957256,6.228652,44.503735,24.580322,678.109985,13.4737
2016/2/10,21.790821,6.21399,44.892059,24.085472,684.119995,13.440023
2016/2/11,21.659069,6.182223,44.873993,24.076942,683.109985,13.411958
2016/2/12,21.726107,6.287297,45.605484,24.435272,682.400024,13.431604
2016/2/16,22.338663,6.595186,46.46957,24.554722,691,13.350217
2016/2/17,22.680763,6.758905,47.679298,25.143419,708.400024,13.414765
2016/2/18,22.250824,7.340475,47.470093,25.100761,697.349976,13.451249
2016/2/19,22.199966,7.438216,47.133545,24.495003,700.909973,13.431604
2016/2/22,22.394136,7.702122,47.888489,25.041039,706.460022,13.602796
2016/2/23,21.887911,7.721671,46.551434,24.571785,695.849976,13.580345
2016/2/24,22.213837,7.775429,46.715153,24.90453,699.559998,13.490539
2016/2/25,22.366396,7.792535,47.388237,25.271402,705.75,13.336185
2016/2/26,22.40107,7.74122,46.660576,25.424971,705.070007,13.22954
2016/2/29,22.350216,7.690944,46.278557,25.245804,697.77002,13.221121
2016/3/1,23.237852,8.031837,47.824825,25.911295,718.809998,13.226734
2016/3/2,23.288694,8.078433,48.161366,26.056335,718.849976,13.257604
2016/3/3,23.462063,8.007309,47.615623,26.09046,712.419983,13.299701
2016/3/4,23.811104,7.982788,47.324562,26.133121,710.890015,13.381088
2016/3/7,23.54759,7.931284,46.415001,26.39761,695.159973,13.389507
2016/3/8,23.35342,7.78659,46.978931,26.073395,693.969971,13.386701
2016/3/9,23.374226,7.781684,48.061317,26.337887,705.23999,13.257604
2016/3/10,23.385782,7.769423,47.342751,26.662096,712.820007,13.454055
2016/3/11,23.637739,7.901857,48.270496,27.097223,726.820007,13.187444
2016/3/14,23.697838,7.921475,48.361462,26.815668,730.48999,13.11167
2016/3/15,24.174017,7.882236,48.743481,27.003376,728.330017,13.563506
2016/3/16,24.495317,8.117674,49.43475,27.037502,736.090027,13.715054
2016/3/17,24.456026,8.049004,49.716713,27.284924,737.780029,13.776795
2016/3/18,24.483757,8.291797,48.652519,27.882158,737.599976,13.602796
2016/3/21,24.481447,8.316323,48.989067,27.59207,742.090027,13.751537
2016/3/22,24.668686,8.301607,49.180073,27.575005,740.75,13.686989
2016/3/23,24.532307,8.443852,49.089123,27.301991,738.059998,13.644893
2016/3/24,24.425974,8.456116,49.307404,27.199598,735.299988,13.897472
2016/3/28,24.31502,8.541953,48.698009,27.216671,733.530029,13.942375
2016/3/29,24.890591,8.679287,49.762192,27.6262,744.77002,13.855375
2016/3/30,25.325161,8.77003,50.071445,27.907743,750.530029,13.824505
2016/3/31,25.193399,8.738149,50.235165,27.600605,744.950012,13.793634
2016/4/1,25.424549,8.865676,50.544403,27.685919,749.909973,13.748731
2016/4/4,25.685759,8.779838,50.417076,27.301991,745.289978,14.054632
2016/4/5,25.382948,8.767576,49.625759,27.216671,737.799988,14.214599
2016/4/6,25.648773,8.779838,50.135105,27.370245,745.690002,14.537339
2016/4/7,25.089388,8.689101,49.534794,26.918051,740.280029,14.590662
2016/4/8,25.117125,8.745505,49.498421,26.986309,739.150024,14.716951
2016/4/11,25.200338,8.799461,49.398369,27.020437,736.099976,14.618726
2016/4/12,25.528576,8.78965,49.70763,27.182541,743.090027,14.464372
2016/4/13,25.898418,9.010372,50.344311,27.412903,751.719971,14.64679
2016/4/14,25.912291,9.034897,50.353397,27.131351,753.200012,14.632758
2016/4/15,25.392193,9.106016,50.617184,26.841265,759,14.949885
2016/4/18,24.844366,9.066779,51.353931,27.003376,766.609985,15.031272
2016/4/19,24.712605,8.904916,51.29026,26.960711,753.929993,14.559791
2016/4/20,24.763453,8.93925,50.562603,27.301991,752.669983,14.803951
2016/4/21,24.495317,8.92944,50.735424,27.27639,759.140015,14.89095
2016/4/22,24.428284,8.895107,47.097176,26.994837,718.77002,14.97795
2016/4/25,24.289595,8.93925,47.397327,26.781542,723.150024,15.126691
2016/4/26,24.120844,8.946608,46.787926,26.790073,708.140015,15.132304
2016/4/27,22.61142,9.150162,46.333141,27.08869,705.840027,15.146336
2016/4/28,21.920267,8.877935,45.387199,26.542652,691.02002,15.126691
2016/4/29,21.668316,8.713622,45.359905,25.834503,693.01001,15.090207
2016/5/2,21.645201,8.828887,46.032978,26.116051,698.210022,15.21369
2016/5/3,22.001175,8.723433,45.278049,25.902758,692.359985,15.929332
2016/5/4,21.772335,8.524784,45.359905,25.68762,695.700012,15.839526
2016/5/5,21.683962,8.576283,45.423576,25.73065,701.429993,15.825494
2016/5/6,21.56303,8.664575,45.832878,25.851124,711.119995,16.010717
2016/5/9,21.579311,8.652308,45.541817,25.644588,712.900024,16.078074
2016/5/10,21.725822,8.819079,46.405903,25.937181,723.179993,15.67114
2016/5/11,21.514193,8.843606,46.433182,25.868336,715.289978,15.7413
2016/5/12,21.009537,8.723433,46.851585,25.610172,713.309998,15.730075
2016/5/13,21.051392,10.05022,46.460487,25.739254,710.830017,15.530818
2016/5/16,21.832804,10.346967,47.142647,26.152317,716.48999,15.508366
2016/5/17,21.7421,10.36904,46.263367,25.79949,706.22998,15.42698
2016/5/18,21.990938,10.633906,46.538143,25.808098,706.630005,15.314722
2016/5/19,21.907221,10.680503,46.08934,25.498297,700.320007,15.435399
2016/5/20,22.14443,10.871799,46.364113,25.945789,709.73999,15.511173
2016/5/23,22.425829,10.888965,45.823715,26.014633,704.23999,15.937751
2016/5/24,22.767689,11.153289,47.252571,26.728889,720.090027,15.853558
2016/5/25,23.167694,11.10657,47.738007,27.012877,725.27002,15.99388
2016/5/26,23.351423,11.224594,47.52734,27.09893,724.119995,16.159458
2016/5/27,23.337467,11.286066,47.921188,27.167778,732.659973,16.176298
2016/5/31,23.223513,11.487691,48.544018,27.184992,735.719971,16.325039
2016/6/1,22.897926,11.50982,48.40662,27.245234,734.150024,16.26049
2016/6/2,22.725832,11.59096,48.067726,27.331284,730.400024,16.437298
2016/6/3,22.772348,11.428679,47.435749,27.210806,722.340027,16.50465
2016/6/6,22.937464,11.369666,47.747154,27.262438,716.549988,16.630941
2016/6/7,23.030485,11.391796,47.719688,27.434546,716.650024,16.355909
2016/6/8,23.009552,11.354917,47.664722,27.443157,728.280029,16.774069
2016/6/9,23.174675,11.649975,47.280029,27.486183,728.580017,16.855455
2016/6/10,22.983971,11.359833,47.15181,27.572245,719.409973,16.729166
2016/6/13,22.637461,11.504903,45.924473,27.684109,718.359985,17.554258
2016/6/14,22.665365,11.527031,45.640537,27.658291,718.27002,17.523388
2016/6/15,22.590944,11.645056,45.512302,27.2022,718.919983,17.67774
2016/6/16,22.686296,11.691772,46.15345,27.271048,710.359985,17.708612
2016/6/17,22.170015,11.487691,45.915318,27.331284,691.719971,17.949966
2016/6/20,22.116526,11.694233,45.860355,27.684109,693.710022,18.059418
2016/6/21,22.304901,11.622927,46.886185,27.813194,695.940002,18.137997
2016/6/22,22.221174,11.61309,46.703007,27.787378,697.460022,18.202545
2016/6/23,22.349085,11.922905,47.545666,28.389771,701.869995,18.196932
2016/6/24,21.72117,11.244265,45.640537,27.150564,675.219971,18.241835
2016/6/27,21.40489,11.123781,44.358246,26.436302,668.26001,18.166061
2016/6/28,21.765352,11.286066,45.283325,26.840761,680.039978,18.194126
2016/6/29,21.953733,11.470479,46.29084,27.477579,684.109985,18.199739
2016/6/30,22.232803,11.558994,46.867867,28.226257,692.099976,18.275513
2016/7/1,22.300249,11.472938,46.858715,28.183237,699.210022,18.275513
2016/7/5,22.090942,11.642598,46.867867,28.122999,694.950012,18.126772
2016/7/6,22.216524,11.716362,47.060226,28.372561,697.77002,18.269899
2016/7/7,22.311876,12.021256,47.060226,28.570486,695.359985,18.177286
2016/7/8,22.483973,12.503189,47.902866,29.25893,705.630005,17.994869
2016/7/11,22.553738,12.790875,48.168491,29.585947,715.090027,18.028545
2016/7/12,22.656067,12.982663,48.736355,30.067854,720.640015,17.972418
2016/7/13,22.52816,12.977747,49.011131,30.128094,716.97998,17.818064
2016/7/14,22.97468,13.110522,49.221802,30.291601,720.950012,17.983643
2016/7/15,22.972351,12.958075,49.185162,30.179724,719.849976,17.81245
2016/7/18,23.216537,13.024465,49.423302,30.162512,733.780029,17.804031
2016/7/19,23.225836,13.159698,48.62645,30.248569,736.960022,17.599161
2016/7/20,23.246765,13.331818,51.209354,30.71327,741.190002,17.69458
2016/7/21,23.123514,13.085933,51.108597,29.49128,738.630005,17.826483
2016/7/22,22.944437,13.442465,51.813866,29.826895,742.73999,17.717031
2016/7/25,22.637461,13.690808,51.960415,29.852711,739.77002,17.815256
2016/7/26,22.481646,13.924397,51.987896,30.196928,738.419983,17.820869
2016/7/27,23.942125,13.784245,51.46582,29.973196,741.77002,17.818064
2016/7/28,24.265383,13.81375,51.484131,29.921556,745.909973,17.885418
2016/7/29,24.235149,14.039963,51.914623,29.999004,768.789978,17.961191
2016/8/1,24.663065,13.948987,51.823029,29.990395,772.880005,18.014515
2016/8/2,24.297943,13.779328,51.823029,29.740852,771.070007,17.980837
2016/8/3,24.602592,13.816209,52.180229,29.697487,773.179993,17.523388
2016/8/4,24.754583,14.071927,52.564915,29.983622,771.609985,17.674934
2016/8/5,25.131027,14.310437,53.086994,30.330454,782.219971,17.702999
2016/8/8,25.339132,14.443213,53.178604,30.382484,781.76001,17.784386
2016/8/9,25.442013,14.480095,53.306828,30.278427,784.26001,17.784386
2016/8/10,25.252621,14.386658,53.141964,29.940275,784.679993,17.840515
2016/8/11,25.236252,14.679261,53.398422,30.07033,784.849976,17.933126
2016/8/12,25.294706,15.500513,53.06868,29.974947,783.219971,17.958385
2016/8/15,25.598679,15.485761,53.233547,30.269766,782.440002,17.983643
2016/8/16,25.575293,15.392324,52.938629,30.52989,777.140015,17.919094
2016/8/17,25.537876,15.035794,53.049217,30.365135,779.909973,18.011707
2016/8/18,25.505144,15.269381,53.086086,30.321787,777.5,17.966805
2016/8/19,25.570616,15.308725,53.104523,30.555901,775.419983,18.017321
2016/8/22,25.371866,15.372655,53.150593,30.659952,772.150024,18.205351
2016/8/23,25.451368,15.497051,53.353363,30.694628,772.080017,18.216578
2016/8/24,25.259632,15.258105,53.408661,30.477863,769.640015,18.272705
2016/8/25,25.152069,15.157106,53.611416,30.425837,769.409973,17.933126
2016/8/26,25.004772,15.280276,53.482395,30.573231,769.539978,17.93874
2016/8/29,24.976715,15.270425,53.546902,30.824696,772.150024,18.031351
2016/8/30,24.784967,15.181744,53.353363,30.954756,769.090027,18.070642
2016/8/31,24.808355,15.110307,52.957058,31.119493,767.049988,18.109934
2016/9/1,24.955667,15.556174,53.076874,31.23222,768.780029,18.213772
2016/9/2,25.189484,15.403445,53.150593,31.284243,771.460022,18.079062
2016/9/6,25.182468,15.548784,53.095303,31.70912,780.080017,18.572994
2016/9/7,25.336792,15.319691,53.141384,31.613735,780.349976,18.620705
2016/9/8,24.672743,15.430543,52.929417,31.596392,775.320007,18.819962
2016/9/9,24.113913,14.661971,51.805027,30.729313,759.659973,18.9238
2016/9/12,24.654034,14.964967,52.579185,31.284243,769.02002,18.833994
2016/9/13,25.240925,14.74819,52.099949,30.876713,759.690002,18.963089
2016/9/14,26.134121,14.878749,51.851097,30.885397,762.48999,18.783478
2016/9/15,27.02264,15.44286,52.708218,31.700438,771.76001,18.570189
2016/9/16,26.870657,15.479811,52.763515,32.662907,768.880005,18.612286
2016/9/19,26.557339,15.684267,52.468597,32.220684,765.700012,18.884508
2016/9/20,26.555002,15.541392,52.357994,32.203346,771.409973,18.979927
2016/9/21,26.550322,15.977415,53.233547,32.472145,776.219971,18.870478
2016/9/22,26.80051,16.016825,53.288841,32.558849,787.210022,18.797508
2016/9/23,26.353914,15.999578,52.929417,32.2467,786.900024,18.550543
2016/9/26,26.393663,15.849317,52.440948,31.778484,774.210022,18.227802
2016/9/27,26.442764,16.391253,53.408661,32.238029,783.01001,18.595446
2016/9/28,26.64385,16.450377,53.482395,32.463467,781.559998,18.674026
2016/9/29,26.229986,16.603106,52.901752,32.359425,775.01001,18.210964
2016/9/30,26.433413,16.879005,53.086086,32.732265,777.289978,18.146416
2016/10/3,26.309483,16.861759,52.920197,32.654232,772.559998,18.219383
2016/10/4,26.421717,16.824814,52.754295,32.550182,776.429993,18.909767
2016/10/5,26.433413,16.807568,53.122959,32.940365,776.469971,18.909767
2016/10/6,26.629822,16.588327,53.215126,33.009735,776.859985,19.103411
2016/10/7,26.669567,16.467617,53.270409,33.03574,775.080017,19.268991
2016/10/10,27.134874,16.529203,53.491604,32.966381,785.940002,19.308281
2016/10/11,27.193329,16.29026,52.708218,32.316063,783.070007,19.294249
2016/10/12,27.436508,16.364162,52.634483,32.194679,786.140015,19.473862
2016/10/13,27.352327,16.098118,52.459366,32.055943,778.190002,19.442989
2016/10/14,27.504311,16.25577,52.920197,32.472145,778.530029,19.153927
2016/10/17,27.485605,16.162165,52.73587,32.333412,779.960022,18.69367
2016/10/18,27.4669,16.408503,53.141384,32.732265,795.26001,18.839605
2016/10/19,27.385063,16.374014,53.021572,30.79001,801.5,19.036057
2016/10/20,27.371037,16.684399,52.763515,30.720636,796.969971,18.269899
2016/10/21,27.263472,16.637587,54.984657,30.477863,799.369995,17.557064
2016/10/24,27.508987,17.418478,56.219643,30.573231,813.109985,17.467258
2016/10/25,27.649275,17.704231,56.210423,30.434505,807.669983,17.630032
2016/10/26,27.027315,17.775669,55.878635,30.278427,799.070007,17.447615
2016/10/27,26.767775,17.411091,55.390167,30.183052,795.349976,17.357807
2016/10/28,26.590075,17.381527,55.178188,30.12236,795.369995,17.43358
2016/10/31,26.547981,17.529333,55.224281,30.235075,784.539978,17.587934
2016/11/1,26.068649,17.00956,55.113678,29.931601,783.609985,17.464453
2016/11/2,26.092031,16.93812,54.772671,30.000961,768.700012,17.770353
2016/11/3,25.812363,16.741053,54.56992,29.642771,762.130005,17.837708
2016/11/4,25.579685,16.644985,54.1091,29.363209,762.02002,17.854548
2016/11/7,25.948673,17.556425,55.685089,30.306747,782.52002,17.806837
2016/11/8,26.101437,17.529333,55.731171,30.350424,790.51001,17.394291
2016/11/9,26.05913,17.233728,55.454685,30.359158,785.309998,17.596355
2016/11/10,25.332914,16.69425,54.099892,30.140749,762.559998,17.063131
2016/11/11,25.483326,21.670258,54.394802,30.236851,754.02002,17.150131
2016/11/14,24.844074,20.603613,53.565338,30.12327,736.080017,16.93965
2016/11/15,25.173101,21.231779,54.623089,30.498947,758.48999,17.063131
2016/11/16,25.84996,22.57185,55.346821,30.437792,764.47998,17.074358
2016/11/17,25.840561,22.759064,56.265408,30.595047,771.22998,17.262388
2016/11/18,25.866409,22.998014,55.996319,30.533894,760.539978,17.259583
2016/11/21,26.258902,22.904398,56.469536,30.560104,769.200012,17.265196
